pose_id,frame_id,keypoint_id,x,y,z,visibility,presence
7,0,0,-3.5495084E-8,0.98696136,0.0,true,true
7,0,1,0.0,1.0386064,0.022798702,true,true
7,0,2,-5.9158474E-8,1.0383513,0.02240563,true,true
7,0,3,-5.9158474E-8,1.0371686,0.02240563,true,true
7,0,4,2.366339E-8,1.034052,0.026336463,true,true
7,0,5,-6.21164E-8,1.0305905,0.026336463,true,true
7,0,6,5.3242626E-8,1.0263134,0.026336463,true,true
7,0,7,0.0,1.0074798,0.17020439,true,true
7,0,8,6.6553283E-9,0.9964494,0.18985845,true,true
7,0,9,4.141093E-8,0.9380516,0.05621069,true,true
7,0,10,5.0284704E-8,0.929291,0.061713815,true,true
7,0,11,2.366339E-8,0.6947856,0.24862419,true,true
7,0,12,-2.366339E-8,0.69370544,0.33362812,true,true
7,0,13,-2.366339E-8,0.42398736,0.2997248,true,true
7,0,14,2.366339E-8,0.45767003,0.39809352,true,true
7,0,15,1.2571176E-8,0.2738884,0.19811319,true,true
7,0,16,0.0,0.27630195,0.2804638,true,true
7,0,17,-3.5495084E-8,0.29493645,0.15566035,true,true
7,0,18,0.0,0.2801656,0.24941033,true,true
7,0,19,-2.366339E-8,0.26398093,0.12401727,true,true
7,0,20,0.0,0.2638749,0.20145437,true,true
7,0,21,0.0,0.23962556,0.1847484,true,true
7,0,22,0.0,0.24618512,0.2588443,true,true
7,0,23,4.4368855E-9,0.09382272,0.47926491,true,true
7,0,24,0.0,0.093822524,0.5710986,true,true
7,0,25,2.9579237E-8,0.464638,0.41136,true,true
7,0,26,-2.366339E-8,0.45165366,0.5623034,true,true
7,0,27,3.5495084E-8,0.87998116,0.74469334,true,true
7,0,28,1.1831695E-8,0.7596526,0.9673742,true,true
7,0,29,5.3242626E-8,0.9267985,0.7669025,true,true
7,0,30,2.9579237E-8,0.8032015,1.0,true,true
7,0,31,2.5142352E-8,1.0994352,0.5928655,true,true
7,0,32,2.366339E-8,0.9554768,0.860849,true,true
7,1,0,6.7896324E-9,0.9761115,0.0,true,true
7,1,1,-3.394816E-8,1.0227966,0.015878417,true,true
7,1,2,0.0,1.0225134,0.015888125,true,true
7,1,3,-4.0737795E-8,1.0228844,0.015945971,true,true
7,1,4,-6.7896324E-9,1.0235176,0.01547535,true,true
7,1,5,5.431706E-8,1.0232835,0.015479621,true,true
7,1,6,2.3763713E-8,1.0234956,0.015484739,true,true
7,1,7,2.715853E-8,1.001749,0.1310925,true,true
7,1,8,-2.4612417E-8,1.0023329,0.12951459,true,true
7,1,9,-6.7896324E-9,0.91932166,0.044734374,true,true
7,1,10,2.0368898E-8,0.9222589,0.04429187,true,true
7,1,11,2.715853E-8,0.71211416,0.20400453,true,true
7,1,12,-2.715853E-8,0.7008446,0.22291672,true,true
7,1,13,-1.3579265E-8,0.40660024,0.2510403,true,true
7,1,14,1.3579265E-8,0.38936657,0.26559442,true,true
7,1,15,2.3763713E-8,0.2846449,0.15094544,true,true
7,1,16,3.3948162E-9,0.25990757,0.17170689,true,true
7,1,17,2.715853E-8,0.3140041,0.11742704,true,true
7,1,18,0.0,0.3086165,0.13972802,true,true
7,1,19,1.3579265E-8,0.29040197,0.08629183,true,true
7,1,20,1.3579265E-8,0.28563842,0.10449271,true,true
7,1,21,-1.3579265E-8,0.26737848,0.1374388,true,true
7,1,22,0.0,0.2566732,0.15563928,true,true
7,1,23,-6.3652805E-10,0.102144055,0.42094266,true,true
7,1,24,2.1217601E-10,0.10214383,0.45923838,true,true
7,1,25,-6.7896324E-9,0.4321681,0.4512756,true,true
7,1,26,0.0,0.42932186,0.6259399,true,true
7,1,27,-4.7527426E-8,0.88891965,0.6590032,true,true
7,1,28,-6.7896324E-9,0.6826116,0.97173023,true,true
7,1,29,6.7896324E-9,0.9340863,0.6715764,true,true
7,1,30,3.0553345E-8,0.71269417,1.0,true,true
7,1,31,-3.394816E-8,1.0398521,0.5320496,true,true
7,1,32,6.7896324E-9,0.8645059,0.9096739,true,true
7,2,0,5.043889E-8,0.9806778,0.0,true,true
7,2,1,6.2078634E-8,1.0263002,0.017250339,true,true
7,2,2,-1.5519658E-8,1.0266923,0.017251119,true,true
7,2,3,3.1039317E-8,1.0262896,0.017250638,true,true
7,2,4,-5.043889E-8,1.0262105,0.017341144,true,true
7,2,5,1.06697655E-8,1.0260398,0.017277505,true,true
7,2,6,3.2009297E-8,1.0257378,0.017277656,true,true
7,2,7,0.0,1.0046655,0.14131008,true,true
7,2,8,-5.043889E-8,0.9997466,0.1426623,true,true
7,2,9,1.9399574E-8,0.9230381,0.047586214,true,true
7,2,10,0.0,0.9252513,0.047944207,true,true
7,2,11,4.6558974E-8,0.71115255,0.22500181,true,true
7,2,12,3.1039317E-8,0.6985029,0.24255694,true,true
7,2,13,6.2078634E-8,0.41385275,0.2839733,true,true
7,2,14,-1.5519658E-8,0.39795968,0.2902256,true,true
7,2,15,1.5519658E-8,0.2917372,0.18503468,true,true
7,2,16,0.0,0.2655754,0.19894828,true,true
7,2,17,-1.5519658E-8,0.32479903,0.15349898,true,true
7,2,18,-7.759829E-9,0.3102972,0.16760443,true,true
7,2,19,-3.8799147E-8,0.3031139,0.11980416,true,true
7,2,20,0.0,0.2868116,0.13014457,true,true
7,2,21,7.759829E-9,0.2788104,0.17072217,true,true
7,2,22,0.0,0.26062813,0.18210644,true,true
7,2,23,-1.1700368E-8,0.10327863,0.43696108,true,true
7,2,24,-3.0311833E-11,0.103278756,0.47033998,true,true
7,2,25,1.5519658E-8,0.44501904,0.45077562,true,true
7,2,26,-3.1039317E-8,0.43781275,0.59781337,true,true
7,2,27,-1.5519658E-8,0.9225352,0.67955375,true,true
7,2,28,2.7159402E-8,0.70382005,0.96418285,true,true
7,2,29,-4.6558974E-8,0.97080755,0.6939675,true,true
7,2,30,5.8198717E-9,0.7414213,1.0,true,true
7,2,31,0.0,1.0817001,0.54647577,true,true
7,2,32,-2.3279487E-8,0.8801701,0.8999958,true,true
7,3,0,-5.00501E-8,0.97421914,0.0,true,true
7,3,1,5.00501E-8,1.0213529,0.01565818,true,true
7,3,2,-2.1760913E-8,1.0211735,0.015654717,true,true
7,3,3,5.222619E-8,1.0211977,0.015655937,true,true
7,3,4,1.90408E-8,1.022631,0.016084613,true,true
7,3,5,3.481746E-8,1.0225656,0.016064262,true,true
7,3,6,-1.08804565E-8,1.0224884,0.016107537,true,true
7,3,7,8.704365E-9,1.002251,0.1348699,true,true
7,3,8,1.3056548E-8,1.0018636,0.13868053,true,true
7,3,9,3.046528E-8,0.9167628,0.045952406,true,true
7,3,10,-3.1553324E-8,0.91672057,0.046895906,true,true
7,3,11,0.0,0.7150721,0.20768577,true,true
7,3,12,5.222619E-8,0.71472216,0.24045897,true,true
7,3,13,3.481746E-8,0.41078734,0.2578505,true,true
7,3,14,-1.740873E-8,0.40331692,0.28047556,true,true
7,3,15,-2.1760913E-9,0.27410188,0.15816543,true,true
7,3,16,-4.3521826E-9,0.2710896,0.19331887,true,true
7,3,17,3.481746E-8,0.30404466,0.1234003,true,true
7,3,18,0.0,0.3204253,0.16120917,true,true
7,3,19,2.6113096E-8,0.28036806,0.09243144,true,true
7,3,20,0.0,0.29440996,0.12196868,true,true
7,3,21,0.0,0.25767362,0.14475054,true,true
7,3,22,0.0,0.26787063,0.17524087,true,true
7,3,23,-1.0608445E-8,0.10385249,0.42561698,true,true
7,3,24,0.0,0.103852496,0.46733618,true,true
7,3,25,-8.704365E-9,0.44728583,0.44097987,true,true
